label,text
negative,"Крайне недовольна заказом. Джинсы длинные, широкие, ткань такая себе. Заказ шел очень долго."
neutral,жестковатый материал если сравнивать с этой же моделью в другом цвете
neutral,"Доставка заняла 19 дней. На самом деле блуза гораздо короче, чем выглядит на фото. К телу мягкая, приятная. Но пришла с какими-то жирными пятнами в области живота, чем меня и огорчила..."
neutral,Ткань действительно выглядит дёшево.доставка быстрая
positive,заказываю второй раз все нравится приятные к телу и смотрятся ах!!)) об 98 хл как раз!)
negative,"размер не соответствует, ХХХL - на ребенка 9лет"
positive,"хорошая базовая футболка, на 46 хл не в облипку, но и не оверзайз. немного светится."
negative,"Брюки поишли очень быстро, принесли на дом, что очень приятно. Но качеством самих брюк недовольна, при носке лезет пух очень сильно. Ношу уже несколько дней и постоянно надо очичать брюки от пуха. По ращмеру подошло хорошо. Открыла спор с продавцом, ответили быстро обещают вернуть часть денег. Жду. Дочери заказала у этого же продавца, но подешевле, и брюки оказались по качеству лучше!!"
negative,Совсем не то что ожидала. Просто майка с кружевом.
positive,"рубашка соответствует описанию, не шедевр, но за свою стоимость пойдет, размер М на S-XS сел хорошо, длина самой рубашки и рукавов хорошая на рост 160, упакована хорошо, доставка меньше месяца"
positive,"Платье хорошее: тонкое и при этом достаточно плотное. Дошло достаточно быстро - за 3 недели, несмотря на Новогодний ажиотаж и Черную Пятницу. Из недостатков: немного торчат нитки и выделяет недостатки в области живота и бедер, но у меня они значительные: после беременности. В целом, товаром довольна!"
positive,"Шапка пришла где то за месяц, качество нормальное, но пахнет ужасно"
negative,"Очень низкого качества материал, это не атлас"
negative,"Утонула в куртке. На бюст 95 заказала 3хл, нужно было брать хл. Продавец хоть и уточнил параметры но не предложил другой размер. Очень разачарована."
neutral,"Свитер пришел поврежденным, сбоку шов был распорот. Очень маленький размер, хоть на сайте указан «один размер», я рассчитывала на какой-то средний (М), а пришел S. Цвет серый поношенный, не такой как на картинке. Расстроена."
positive,"Очень классная, мне понравилось, материал мягкий, буду заказывать еще"
neutral,"Маленькое, не понравилось"
neutral,"По размеру оказался мал, на рост 1,64 натянуто, плохо застегивается на липучки."
neutral,"взяла L для себя на 46 размер. Подошло ребенку на 147рост 9 лет. Материал с запахом и синтетика, тонкая как стекло, тянется и просвечивается."
positive,"блузка хорошая,подошла по размеру,хотя заказала на размер меньше,написала продавцу просьбу отправить на размер больше,в чем не отказал.ставлю 5 звезд,спасибо!буду заказывать еще!"
neutral,"Заказывала размер Д, это ни о чем. Ни на какой Д то, что пришло, не налезет и ничего держать не будет, хотя липнет ОЧЕНЬ крепко. Даже и не знаю, приходится ли и как будут после стирки сохраняться липкие свойства."
positive,"У меня нет слов, насколько это платье шакарно!!! Сшито очень аккуратно, ткань наощупь приятная, сидит платье просто превосходно. Доставка - 20 дней, трек отслеживался. В общем, это любовь с первого взгляда... на платье . Друзья тоже оценили. Дажа этикетка была шикарной! Продавец просто супер! рекомендую его и его товары!"
positive,"На бедра 83 см подошел XL, не сильно облегают. Но длина коротковата оказалась на рост 162."
neutral,"товар не получила,вернули деньги"
neutral,"Длинные лямки и верх платья криво просшит, придется отдавать в отелье чтобы перешили."
neutral,"Резинки впринципе не плохие, но кажется, что быстро растянутся.За эту цену сойдут. Кстати, пришло не 100,а 98 резинок."
neutral,"Ткань очень мягкая, очень приятная ! Но размерчик это вообще нечто! Я ношу s-xs , и в итоге размер м смотреться на мне не то, чтобы маловато , похоже на то, что я это кардиган у ребёнка 4 лет отняла!!! Он мне по живот, очень короткий, думайте сами ребят"
positive,"Джинсы суперские,вот только маломерки (((заказала размер L,оказались малы,и плохо тянуться .а по качеству и внешнему виду,очень даже хорошо за такую цену"
positive,"Быстрая доставка. Платье соответствует описанию. На рост 176, размер М до колена, даже немного прикрывает. Полностью по фигуре, на параметры 85/63/92"
negative,"Товар так и не пришёл,попросила вернуть деньги,но продавец уверяет что товар у меня на почте,защита закончилась уже несколько дней назад,спор закрыл и сказал ждать"
positive,"Спасибо) тёплые и мягкие носочки! заказала 12/09 пришли 06/10 до Новосибирска . Все отслуживалось, продавец разговорчивый."
neutral,...и даже не искусственная кожа((
negative,"Очень короткая кофта, сильно в обтягивает, на мои параметры 95 о.г"
negative,на самом деле это выглядит очень не красиво.
positive,"рубашки отличные, качество супер) советую. на ог-87 и от- 62 подошли L ."
negative,"Короткие на размер 163, как подстреленные. Зрительно укорачивают ноги и увеличивают зад. :-/"
negative,"куртка ужасная, швы прошиты плохо,мех ободранной кошки."
negative,ЖДАЛА 2 МЕСЯЦА .ТОВАР ТАК И НЕ ПРИШЕЛ.ГРУСТНО
positive,"Классное платье! Все точно как на фото. Выписывайте не пожалеете. На 54-56 выписывала 5 хххх. Качество хорошее, все ровно прошито. Советую!"
neutral,в плечах велико
neutral,Эх. Один раз постирала и она испортилась. Вся краска смылась. Размер взяла М на параметры 85-62-89. Шорты на маленькие бёдра.
negative,пришли с двумя дырками. (((
neutral,"купила два платья одинакого размера хл. отправил обычной почтой, а указано е-пакет. пришли платья на бирже хл, а по факту маленькие, но одно меньше еще другово.фото прокладываю с замерами. просила у продавца скидку 30% при покупке нового платья но большего размера, сказал только 20. открыла спор. очень сильно маломерят. не рекомендую."
neutral,"Жилетка теплая, но есть несколько минусов: по спине топорщится, нет выточек, придется отдавать в ателье; воротник -большие лопухи -придется ушивать, и надо постоянно чистить жилетку все липнет и на подкладке желтые разводы или пятна"
positive,"спасибо, платье красивое соответствует фото"
negative,"Ужасные трусики.. шнуровка полная противоположность.. на фото секси, в Реале похороны"
negative,"В описании написано джинсы зимние, следовательно утепленные. Пришли джинсы обычные весенне-летние."
negative,Nothing I did not send anything! Rogue!!
neutral,"мне не понравился. На большой груди не красиво смотрится, больше для дома подойдёт."
negative,описание не соответствует действительности
negative,"Дешёвая синтетика, почему никто ненамисал об этом, как можно себя так неуважать. очень плохо"
neutral,качество очень среднее
positive,"Качество кофты отличное, пришла за месяц, но размер хотелось бы немного меньше. Заказывала 2 кофты размера xxl, но они пришли разных размеров, винная впритык, а бежевая большевата. Не открывая спор, написала продавцу. Сразу ответил, решил вопрос, дав купон в его магазине."
negative,"получила свитер где-то через месяц. покупала за 757 р. был жуткий запах, который не прошел после стирки. Потом заметила на рукаве огромную дыру. написала продавцу, но он лишь обещал вернуть деньги, но не вернул. обманщик. не рекомендую."
negative,"Ну что ж.. Полное разочарование. Даже можно не комментировать, на фото все видно, и кривые швы, которые уже распускаются, и куча ниток. Несимметричные передние швы ( ну как такое носить?). Будет домашним платьем на дачу. По спору вернула большую часть стоимости."
negative,"прошло три месяца, а так и не пришел"
neutral,велика. большемерит. нужно заказывать на размер меньше.
positive,доставка могла быть и лучше
neutral,"Не оправдал мои ожидания. Заказала М-ку, видимо, очень маломерка!"
negative,размер не соответствует таблице. Бретельки оторваны
neutral,"куртка кривая, одна половина больше другой, пароллон торчит местами, рукава тоже кривоваты, продавец предлодил вернуть 3долл., спорить у меня времени нет, поэтому согласилась, носить не буду, к доставке претензий нет, но о покупке жалею и рекомендовать не могу.."
positive,"Доставка быстрая,20 дней,юбка хорошая,но большеватая на 44 размер,М-ка была бы в самый раз."
positive,"очень хорошая шапка,качество отличное для такой смешной цены,доставка быстрая,цвет как и на фото,спасибо буду заказввать еще."
neutral,"Самой вещью в принципе я довольна,единственное ..заказала 6xl рассчитывалась что подойдёт на рус.54,но увы мала где-то 50-52"
positive,Размер точно соответствует размерной сетке продавца. Очень быстрая доставка. Рекомендую продавца.
neutral,"не качественный материал, грудь не держит"
neutral,"Платье в принципе не плохое, но у вас один минус не пришёл пояс, поэтому мой товар был не точным"
neutral,"Размер М на русский 44-й сел впритык, поскольку ткань вообще не тянется. Пошита ужасно, строчки неровные, причем на видных местах. Расцветка на фото красивая, нежная, в реальности же выглядит мрачно, зеленые лепестки на цветах имеют какой-то болотный цвет и портят всё впечатление. Посылка шла около месяца до Краснодара."
negative,марля
neutral,размер s оказался большим
positive,Штаны отличные! но доставка СДЭК оооочень медленная
neutral,"Всем привет, товар получила быстро, на рост 175 малы, брала самый большой размер, очень большой вырез, на 48 размер будет хорошо"
neutral,"Очень долго шла посылка,трек не отслеживался"
negative,"свитер не понравился вообще! размер огрномный для роста 158 ОБ 83, в груди топорщиться! одним словом ГОВНО!"
positive,"Классное, но очень короткое, полпопы видно на рост 170"
positive,"Довольно плотные штаны, удобные, смотрятся хорошо. Лучше брать четко по размеру (чтобы комфортно влезать в них, поскольку они действительно плотные)."
neutral,Качество товара на 3. Больше не буду покупать такой товар.
neutral,качество не очень
negative,"Заказала 2 товара, продавец быстро отправил посылку, указав, что оба внутри. По факту этого заказа в ней не оказалось. Открыла спор, продавец не отреагировал, но вмешался Али Экспресс и решил в мою пользу, за что им огромное спасибо. А продавец не совсем честный."
negative,"продавца предупредила,чт об размер был на взрослого человека,а именно 56р.головы.Прислали шапки одна меньше другой,для 2-3летнего ребёнка.Одним только довольна-это расцветка.Не рекомендую продавца,так как он не слышит просьбу от покупателя.Это моё мнение."
negative,не пришло и спор не успела открыть
positive,"Отличная куртка, хороший цвет, до -10 вполне подойдет. XXXL подошла на 48 размер."
positive,как всегда блеск. ношу размер 46. ог 92 от 75
neutral,Товар не пришёл. Деньги вернули
neutral,очень короткое спереди. на рост 167 размер М прям очень коротко!
negative,я получила очень быстро .но не мой размер и штаны шнурки оторваны я не довольно своим заказам размер маленький я не везло . я расстроилась .
neutral,"Не ровный крой, торчат ниточки."
neutral,Доставка быстрая.Большой минус В куртке подкладка Синтетика и размер маломерка.
neutral,Not good quality
negative,"Я не получила товар, а продавец перевёл статус в подтверждение получение товара (((( открывала спор, что товар мне не нужен, деньги не вернул, так еще и решил, что я получила. Отвратительное отношение. Не буду больше заказывать у данного продавца(((("
neutral,"платье пришло маленького размера, хоть и стоял L. низ платья был весь изрезан кусками и порван , на что продавец ответил что так и должно быть. сшито криво. сзади внизу стык у кружева разный. открыла спор , Али вернул деньги , не советую ни платье , ни продавца!!!"
positive,"Замечательно! Прикольный летний плащик. На свой 50р. самое оно, подол только как накрахмаленная юбка, постирать надо, боюсь подсядет, но это хлопок, не избежать. Доставка не быстрая, но в указанный срок. Продавцу спасибо!"
neutral,"Куртка красивая качественная. Но размер не соответствует описанию. У продавца другие параметры. На самом деле о.г- 106, о.т.- 110, о. подола- 114. На мои параметры 95-83-105 в груди хорошо, а в бедрах маловата. На бирке 48 р., но на самом деле куртка 46р"
negative,Не хлопок. Деньги не вернули
negative,"Пришла с пятном, но отстиралось. Синтетика, но на флисе, за такие деньги неплохо"
positive,Все отлично!
neutral,"мало, очень прозрачный-на фото у продавца этого не видно.брала на работу.даже если бы подошла,носить не стала бы.увы"
neutral,"Мне пришли все 4 пары носков, но 2 из них очень маленькие на вид, хотя они хорошо тянутся, поэтому надеюсь они будут по размеру"
positive,"куртка супер!!! тонковата правда, но за такие деньги -отлично! советую на 48 брала хl подошел идеально!!!"
positive,"Куртка просто супер, пришла за три недели. выглядит классно. Она конечно не на сильные морозы, но при нуле нормально. Вообще у меня размер XS, заказала M и она по фасону достаточно свободная но я так и хотела, при том что рукава не длинные а как раз. В полном восторге, коллега в магазине такую же другого цвета купила за 4500, я взяла по акции за 1600. Рекомендую товар и продавца."
negative,"На фото на жопастых крупных моделях смотрится почти как платье. На деле же малюсенькая короткая кофта из скрипучей некачественной синтетики. Рукава короткие для роста 170 и узкие, хотя руки стройные. Ворот совсем не тянется, узкий и жёсткий. На 96-73-96 кофта смотрится совсем впритык, а хотелось красивый длинный просторный свитер как на модели. Полнейшее разочарование."
negative,"своих денег не стоит - даже края не подшиты, и шов на рукаве разошелся"
negative,заказ так и не был получен.продавец дважды продлевать время отслеживание.а итоге при продлении обязательно забудешь.некомендую покупать товар здесь
negative,Заказ не пришёл. Продавец не отвечает на сообщения. Возврат денег делать не хотят. Не советую этого продавца и этот товар.
positive,"Прекрасная рубашка. На 42-44 М села прекрасно. Дошла быстро, без брака, все замечательно. Спасибо продавцу."
negative,"Продавец обманщик! Я по своей глупости заказала в этом магазине несколько вещей, ни одна посылка мне не пришла! Советую вам обходить стороной данного продавца, таких бессовестных еше не встречала! И самое смешное, что он в личных сообщениях ещё требует хорошего отзыва о своём магазинщике!!!"
positive,"классное, мне нравится,доставка месяц"
neutral,"Товар не пришёл, деньги вернули ."
positive,"Красивые колготки. Качество отличное. Вверху и там, где пальчики рисунка нет, обычные колготки. Более подробно http://m.itao.com/detail/show.htm?postId=4000000489595443"
positive,"Товар соответствует описанию. Качество хорошее. Спасибо, продавцу."
neutral,"Товар шёл около полутора месяцев или более, не отслеживался (только спустя две недели после отправки оказался почему-то в Литве), продавец продлил срок защиты через неделю после отправки. Качество - нормально, но и без восторгов (кривые швы, торчащие нитки - не критично, но неприятно). Ткань тянется, но к телу не очень приятная."
negative,"Пришли после того, как срок защиты закончился. Камни все отваливаются, даже ещё не меряла. Не понравилось мне. Носить я так их не буду."
neutral,размер на ребенка 8ми лет...
positive,Все как в описании продавец молодец !
negative,Вообще не пришли .......
neutral,"Пришло немного не то, что ожидала. По цвету не соответствует и модель другая. Брала размер L ( объёмы : 86, 66, 96) оказался немного большой , особенно рукава"
negative,"Hello! Dissatisfied: the size is very small, but on the right leg is not sewn seam"
neutral,"синтетика, немного сказалась от первой стирки. Что будет дальше незнаю..."
neutral,"цвет не бежевый и не белый,ближе к желтому, такой цвет не подошёл"
neutral,Подойдут только невысоким девушкам :(
positive,"Корсет по размеру подошёл, посылка долго шла на Камчатку, хотела продлить защиту, продавец продлил срок защиты сам, спасибо продавцу за это, рекомендую )))"
positive,"Товар пришёл хорошего качества, по размеру. Без какого-либо запаха."
positive,Супер супер супер! Села идеально! ткань прекрасная!мягкая! стрейч
neutral,прислали не тот цвет . немного велики
neutral,"качество ужасное, материал синтетика,цвет бледный. посылка дошла быстро, но все остальное просто ужас."
positive,it´s exactly as described. Loved It!
neutral,"размер подошёл идеально,но на спине ткань гармошкой,ужас"
positive,"Платье отличное. Доставка быстрая. Качество супер, мягкое, тонкое, но не просвечивает. На лето. На русский 48-50 XXL село отлично. Рукова длинноваты - подошью. 5++++++"
negative,"Никогда,не заказывайте у этого продавца! Посылку мою потеряли, спор был закрыт на договорённости возврата денег стечении месяца было обсуждение! Ещё месяц мне обещали вернуть деньги!!!! Затем они объявили,что повторно отправили товар!!!! Продавец врет!!!!!!! Не попадайтесь на его уловки!!!!!"
neutral,"Пришли быстро, но качество ужасное, все изъяны что есть на теле будут видны, так что девочки не советую очень тонкие и ещё, одна штанина больше другой"
negative,"Заказывала с купоном продавца.Монеты потрачены,заказ не отправлен.Деньги вернула через спор.Очень недовольна."
positive,"Отличные трусы, на ОБ 92, размер L подошли отлично, мягкие, не линяют, в подарок положили резинку для волос, спасибо!"
negative,"плохой товар маломерка, торчат нитки не соответствует размеру+ ПЛАТНАЯ ДОСТАВКА, грубый."
positive,"Ставлю 4 звезды, потому что не ожидала, что шапка будет выглядеть настолько дёшево, моя ошибка, что сделала заказ. Не рекомендую, трекер отслеживался"
positive,прелесть трусики
positive,как всегда все отлично
negative,"Платье не соответствует тому. что на фото. В реале - просто ночнушка из дешевенькой ткани. Цвет другой, светлее намного. Качество ткани отвратительное, не как на фото. Сшито не трапецией а прямоугольником. Волнистых складок (как на картинке) нет и с такой тканью их быть не может. С тканью наэкономили, такого объема, как на фото, нет и коротковатое. Короче, целенаправленный ОБМАН! Продавец целенаправленно вводит покупателя в заблуждение с помощью фото, которое не соответствует рассылаемому товару. На фото - одно, в реале - говно. Ясень пень, что цена бросовая, никто спориться не будет... похоже, китайские друзья уже научились ""бизнесу""."
neutral,"кофта маломерка взяли размер L рукова на рост 170 короткие, у дочки грудь 89см широкие плечи в облип"
positive,"классное платье. очень красивое. на рост 160см не короткое, до середины бедра. даже если укоротить брительки ( т.к. они длинноваты) будет в самый раз."
negative,кофта очень плохо сшита. везде торчат нитки. не хватает клепок. полный брак.
neutral,"На фотографии в интернет магазине смотрится иначе (намного изысканнее,чем в действительности).Качество изделия среднее .Подгибка срезов футболочная (обметали край ,а затем подшили )Трикотаж очень тонкий .Вообщем,не айс ....(( Чтобы реанимировать эту кофту ,придется привлечь свою творческую фантазию.Что и собираюсь сделать в ближайшее время .Можно ""обыграть"" рукава и низ изделия красивым кружевом или фактурной тканью !(чтобы скрыть футболочную строчку)Творчески поколдую и надеюсь достигну-таки достойного результата !) Для не привередливых покупателей,товар может и придется по вкусу ...А вкусах,как говорится,не спорят !:-) Всем Мира и Добра !"
neutral,Синтетика.
positive,малорит на размер. А так все норм
positive,ВОДОЛАЗКА СУПЕР ОЧЕНЬ ПОНРАВИЛАСЬ
positive,"Мои размеры 84/72/89. Заказала l . Все подошло, немного узковато в плечах, но не критично. Куртка тёплая, но не зимняя. Довольно хорошего качества, всё аккуратно прошито. Резинка для волос в подарок, приятно. Рукавв и низ куртки на резинке. Капюшон пришит не отстёгивается, высокий воротник, не очень удобно если шея коротковата. За такую цену, вполне довольна."
neutral,"Расстроена качеством шитья. С изнанки один шов вообще не был прострочен, сзади платье короче, чем спереди."
positive,"Блузка хорошая, в точности, как на картинке продавца. На российский 44 размер заказала L, подошло идеально. Имеется второй слой ткани под блузой, что несомненно обрадовало, так как на работе строгий дресс-код и прозрачные вещи носить нежелательно. Пошив хороший, неточности я не обнаружила. Доставка сверхбыстрая до Астрахани, заказала 22.08, 2.09 уже у меня в руках. С продавцом не общалась, не было необходимости, но думаю он доброжелательный))) . Заказала у него же уже другую блузку, надеюсь также не разочаруюсь))) В целом за все 5 звёзд!!!"
negative,"Описание типа материала не соответствует действительности,спор не одобрили..."
neutral,не получила. ждала очень. деньги вернули спасибо
positive,"Куртка красивая, как на картинке. Швы все ровные, нитки не торчат. Подклад маленько неравномерно. Продавца рекомендую, упаковал хорошо, отправил быстро!!!"
negative,товар не пришло. открыла спор
neutral,"вязка красивая, но все впечатление портят непонятные уши по бокам"
negative,Колготки не пришли. Наихудшее общение с продавцом. Безответственный продавец. Не рекомендую у него брать.
positive,Накапливает статическое электричество и немного бьёт током.
negative,"размер не соответствует, рукава нормальные, все остальное на куклу, заказ пришел быстро, деньги тоже вернули быстро"
positive,"Была по размеру, после деликатной стирки, сселась. Качество среднее, вообще в ней тепло. Мне модель пошива не понравилась."
positive,"хорошие носочки, на мой 39й как раз, не знаю насколько хорошо будет держать силикон, после носки расскажу"
neutral,"заказ шел около 2 месяцев. товаром не очень довольна. это не платье, а свитер длинный, чуть ниже бедра. заказала L на свой M пришло велико и коротко. да еще и забирать пришлось в городе, а не на почте как остальные заказы."
neutral,"джемпер колится на голое тело не одеть,размерная сетка не правильная"
negative,на русский 52 катастрофически мало((
neutral,"Ткань тонкая. Сложно одевать, не расстёгивается сбоку, а через голову сложно влезть. По длине мал."
negative,"товар не пришел. деньги вернули. жалко , очень ждала эту кофточку"
negative,"Не пришли спустя 3 месяца. Просят подождать, якобы не виноваты они в работе почты. Открыла спор, вернула деньги. На самом деле ничего и не отправлялось ((("
neutral,больше похоже на халат дамашниц
negative,"Товар не получила. Сначала продавец говорил ,что все хорошо. Он близко. В итоге пишут ,что доставка не удалась. Продавец игнорит. Ужас. Не советую!!!!!"
positive,Качество нормальное. Размер подошел. Правда на одной штанине небольшое белое пятно.
negative,"Ужасная юбка, даже стыдно ее кому-то отдать просто так, чтобы не валялась. ткань тонкая, полупрозрачная синтетика, для юбки вообще не годится. нет я не против синтетики не в коем случае, но это.... в общем не советую ни в коем случае! не тратьте деньги и не путайте надежды! если кто из Уфы и кого интересует, отдам без проблем"
neutral,Плохое качество
positive,"Заказ пришёл за 2-3 недели. Есть небольшой запах! Надеюсь, после стирки пройдёт! Пока не примеряла, но тянется хорошо!"
positive,Супер! Очень хорошо выполнено и размер соответствует!
negative,Заказ не доставлен. Продавец сам закрыл сделку. Жаль.
positive,все супер
positive,"на 44 взяла м, в районе подмышек придется ушивать, слишком сильно ткань провисает"
neutral,"заказ пришел быстро трек отслеживался, не понравился цвет заказывала другой а так всем довольна"
negative,"товар не пришел,но продавец вернул деньги :°("
negative,"Товар не пришёл, но деньги вернули.спасибо"
neutral,"Очень коротко, только с шортами...((("
positive,Белье без сформированной паролоном чашки. Есть тонкий слой паралона. смотрится очень хорошо.
positive,"для таких денег вполне нормально. немного просвещается, но не критично. пришло как по мне быстро, около месяца."
negative,"Кофта пришла. но совсем другое, не то что на фотографии. 1. она больше серая чем чёрная (заказала чёрную). 2. полосы из другого материала, ожидала что будут из ткани. 3. шнурок как будто с кроссовка сняли."
neutral,Качество кофты ужасное голимая синтетика.
positive,Заказала чёрные во второй раз . И снова мимо с размером (( 38 на 46 мал очень. А 42 размер наверно на 48-50. Короче провал ))) больше рисковать не стану . Ушью может
negative,это чистая синтетика кашемиром даже не пахнет у нас в магазине точ такоеже говно за 300рублеи продают .И стоело месяц ждать? жаль что вы обманывает честных пакупателеи .Не советую не кому этот продукт!!!!!!!!!
neutral,После стирки окрасился и порвался
positive,"Очень качественная ночношка, хорошо пошита, хлопок. Покупала, чтобы носить дома, но промахнулась с размером: ориентировалась на ширину плеч, а надо было на ОГ. Очень уж она свободна, к тому же расширяется к низу. Но за качество и скорость доставки спасибо."
neutral,"на товаре были заметные пятна,а так все вроде нормально"
negative,"Отправил заказ другому человеку , деньги вернули"
neutral,"заказ так и не пришел, но деньги вернули))"
positive,"Клевые,как лосины.заказала М"
negative,"Начнем с того, что они пришли черные, а не синте как я заказывала, плюс полное отсутствие обещанного «теплого бархата» и я отдала 960р за лосины которые могла бы приобрести ну руб за 500 максимум..."
positive,"Тренч очень понравился,на параметры 114-100-116 подошел отлично!Доставка быстрая!Большое спасибо!"
negative,продавец не вернул деньги и без моего согласия закрыл спор!
positive,"Доставка около месяца, курьер вручил в руки. Мягкая, приятная на ощупь внутри и снаружи. На обычный XS-S подошёл M. Не сильно тёплая, скорее на позднюю осень. Шея никак не прикрыта, но это решается шарфом или свитером с воротником. Как будет носиться - посмотрим."
negative,"отправили посылку на другой адрес , в итоге ни топа ни денег"
positive,"Качество не очень, но плотная и милая! Пришла быстро, всем советую)"
positive,"Качество хорошее. Брали на рост 176,вес 75 размер М, немного длинноват. Так что берите S. Доставка, не смотря на праздники, 2 недели. Это очень хорошо."
neutral,футболка на 3 .ладно на дачу пойдет.
neutral,"Все видно на фотографиях. Немного разочаровалась. Шарфик тёплый и мягки :3 и очень большой, можно укутаться"
neutral,"На бежевом черные строчки, не очень аккуратно сделаны швы на бежевой ткани"
negative,"первый раз заказала не пришло,но деньги вернули, второй раз заказала деньги не вернули и заказ не пришёл"
negative,"Мне прислали юбку совсем не того размера, заказывали 5 xl , а прислали s.Деньги не возвращают, продавец только обещает выслать юбку моего размера, но ничего не делает.Скажите пожалуйста---- для чего мне нужна юбка за 610 рублей совсем не моего размера, продавец сказал --- что ошибся, НЕ ВЕРЮ--- естественно мало кто заказывает размер s , который даже на 42 русский всем мал,ОБМАНЩИКИ!!!"
